epoch,train_loss,val_loss
0,0.01842704228883346,0.45075321197509766
1,0.023301162069015186,0.22723348438739777
2,0.01447177761479594,0.28469181060791016
3,0.010038695411849688,0.20263716578483582
4,0.007753319690551271,0.193124458193779
5,0.007153082360765068,0.1743650734424591
6,0.006022331178674094,0.18683509528636932
7,0.0064344084363471745,0.15291906893253326
8,0.005541811047230708,0.1648557335138321
9,0.005987556911626425,0.1428741067647934
10,0.005483764456387903,0.15730632841587067
11,0.005030674041957799,0.15513627231121063
12,0.004889412830165011,0.1458953619003296
13,0.004803528196425205,0.15701888501644135
14,0.0047125785724337985,0.15278813242912292
15,0.004665020084723036,0.14947427809238434
16,0.004480073199931542,0.1475428193807602
17,0.004385263552364028,0.13922742009162903
18,0.004341082712422479,0.14869965612888336
19,0.00449063217947157,0.1569736748933792
