epoch,train_loss,val_loss
0,0.017270373219152705,0.48819512128829956
1,0.024984112049905097,0.49052271246910095
2,0.014559630690397563,0.3380056619644165
3,0.011760052011900918,0.29532095789909363
4,0.009417261071966892,0.266879677772522
5,0.008051316593599764,0.25797930359840393
6,0.007313563397996653,0.2457626610994339
7,0.006784041381414006,0.23071254789829254
8,0.006293384969636365,0.22170616686344147
9,0.0059045478163665755,0.2107880860567093
10,0.005523932591327988,0.20357760787010193
11,0.0052178747002885545,0.20020028948783875
12,0.004978102371096611,0.1973690539598465
13,0.004863648683574685,0.18899129331111908
14,0.004762600446854142,0.18808096647262573
15,0.004651390999030028,0.1853494793176651
16,0.004571920641972317,0.18167375028133392
17,0.00451038453032367,0.1833946853876114
18,0.0044378469399025825,0.18392494320869446
19,0.004397489698565105,0.18327875435352325
