epoch,train_loss,val_loss
0,0.017410380743399807,0.489307165145874
1,0.024526145998435844,0.4708899259567261
2,0.01619952870698474,0.3654075264930725
3,0.011415376498740068,0.3035036027431488
4,0.009032541370550824,0.2689914107322693
5,0.007766567436374163,0.24575862288475037
6,0.006896271470659724,0.23067325353622437
7,0.006287587355667762,0.2301255613565445
8,0.005844688246611767,0.23476262390613556
9,0.005363845321445218,0.23383499681949615
10,0.004997101600560266,0.22061476111412048
11,0.004776576114227013,0.2088690996170044
12,0.004602174601098878,0.20147457718849182
13,0.004457514635291168,0.20299263298511505
14,0.004325882685950355,0.20834267139434814
15,0.00421221441022301,0.1954856514930725
16,0.004099311802305982,0.2061336487531662
17,0.003978176743176961,0.2065562754869461
18,0.003913208510439644,0.22983960807323456
19,0.0038051024727542254,0.19631576538085938
