epoch,train_loss,val_loss
0,0.01869581975382888,0.5958201885223389
1,0.02555810209873801,0.7028279304504395
2,0.024899376043392908,1.1323726177215576
3,0.014792873970082191,0.3558112382888794
4,0.0294726924415044,1.1549228429794312
5,0.033482823145278263,1.7747153043746948
6,0.03206079170092384,1.9441224336624146
7,0.03107293675046924,1.9053047895431519
8,0.017967126272325076,0.46306872367858887
9,0.023123303310968818,1.3434503078460693
10,0.011554606133044014,0.3487203121185303
11,0.011429009637119117,0.3316073715686798
12,0.015649563281244262,0.6130844354629517
13,0.012420595364328242,0.3674238920211792
14,0.012095949584424991,0.2786681652069092
15,0.00823148099234119,0.2681563198566437
16,0.006636468768428965,0.2715443968772888
17,0.00556496848008321,0.24076606333255768
18,0.00509254191287202,0.2145312875509262
19,0.004967608426492739,0.20340047776699066
